item_number,location_no,size_id,value,loc_width,loc_depth,loc_height,case_width,case_length,case_height
47684,C0507-2-4,140160,[New]CF1(RSB1),15.00,96.00,18.00,0.0,0.0,0.0
47684,C0621-3-3,33150,[New]E3(RSB1),20.00,30.00,20.00,0.0,0.0,0.0
100164,F0517-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,10.9,19.6,4.7
100164,E0922-1-2,140417,[New]B2a(RSB2),40.00,48.00,30.00,10.9,19.6,4.7
100164,F0121-2-2,140368,[New]C3a(RSB10),40.00,48.00,18.00,10.9,19.6,4.7
100164,F0117-3-2,140368,[New]C3a(RSB10),40.00,48.00,18.00,10.9,19.6,4.7
100164,E0914-1-2,140551,[Temp]C3a RSB2,40.00,30.00,18.00,10.9,19.6,4.7
100164,E1504-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,10.9,19.6,4.7
101095,F0805-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
101095,F0718-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
101095,F0514-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
101095,F0409-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
101095,F0211-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
101095,F0716-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.2,17.7,7.6
2564,F0413-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,17.9,15.2,12.7
2564,E0716-2-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,17.9,15.2,12.7
2564,E0706-4-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,17.9,15.2,12.7
12012,E0314-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,18.8,10.6,10.0
12012,F0907-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,18.8,10.6,10.0
12012,F0414-4-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,18.8,10.6,10.0
12012,F0606-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,18.8,10.6,10.0
104318,F0905-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,12.6,16.5,4.9
104318,F0301-3-3,140403,[New]A2(RSB10),40.00,48.00,48.00,12.6,16.5,4.9
104318,F0830-4-2,140511,[New]A2(RSB5),40.00,48.00,48.00,12.6,16.5,4.9
104318,E0421-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,12.6,16.5,4.9
104318,E1003-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,12.6,16.5,4.9
104318,F0724-2-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,12.6,16.5,4.9
